sale_id,sale_date,product_id,customer_id,quantity,unit_price,revenue,discount,allocated_transport,due_date
V000040,2024-01-03,P013,C026,23,3231,74313,0,502,2024-01-12
V000041,2024-01-03,P020,C016,42,15105,634410,0,2049,2024-02-02
V000042,2024-01-03,P012,C009,20,1505,30100,0,538,2024-01-27
V000043,2024-01-03,P004,C056,70,9951,696570,38430,3689,2024-01-15
V000044,2024-01-03,P009,C079,42,1829,76818,2982,1946,2024-01-10
V000045,2024-01-04,P009,C042,11,1850,20350,550,413,2024-01-25
V000046,2024-01-04,P001,C064,32,15729,503328,0,2107,2024-01-23
V000047,2024-01-04,P011,C036,83,500,41500,0,3875,2024-01-20
V000048,2024-01-04,P007,C011,12,780,9360,240,504,2024-01-29
V000049,2024-01-04,P016,C063,18,1337,24066,234,1021,2024-01-16
V000050,2024-01-04,P008,C040,26,630,16380,520,1076,2024-01-17
V000051,2024-01-04,P018,C043,14,2874,40236,364,744,2024-01-13
V000052,2024-01-04,P007,C041,8,801,6408,0,299,2024-02-02
V000053,2024-01-04,P007,C062,10,802,8020,0,289,2024-01-27
V000054,2024-01-04,P004,C025,14,10314,144396,2604,880,2024-01-15
V000055,2024-01-04,P005,C036,37,904,33448,0,1707,2024-01-20
V000056,2024-01-04,P010,C061,19,462,8778,0,818,2024-02-03
V000057,2024-01-04,P016,C015,36,1409,50724,0,1893,2024-02-01
V000058,2024-01-04,P002,C020,8,12710,101680,3920,649,2024-02-02
V000059,2024-01-04,P004,C072,42,10567,443814,0,1541,2024-01-16
V000060,2024-01-04,P017,C049,18,2616,47088,0,305,2024-01-24
V000061,2024-01-04,P010,C073,28,448,12544,56,446,2024-01-31
V000062,2024-01-04,P007,C028,15,802,12030,0,903,2024-02-03
V000063,2024-01-04,P006,C001,14,6145,86030,770,638,2024-01-18
V000064,2024-01-04,P010,C037,30,436,13080,420,595,2024-01-13
V000065,2024-01-04,P019,C026,16,2862,45792,2208,384,2024-01-13
V000066,2024-01-04,P005,C010,36,930,33480,0,1399,2024-01-20
V000067,2024-01-05,P010,C052,53,444,23532,318,2395,2024-01-18
V000068,2024-01-05,P002,C056,38,13529,514102,0,1763,2024-01-17
V000069,2024-01-05,P019,C076,26,3171,82446,0,1301,2024-01-18
V000070,2024-01-05,P016,C067,150,1376,206400,0,8920,2024-02-03
V000071,2024-01-05,P016,C012,18,1340,24120,180,902,2024-01-21
V000072,2024-01-05,P006,C043,16,6085,97360,1840,554,2024-01-14
V000073,2024-01-05,P018,C005,18,2780,50040,2160,1323,2024-01-30
V000074,2024-01-05,P013,C066,43,3328,143104,0,2143,2024-01-30
V000075,2024-01-05,P020,C064,35,14684,513940,0,2083,2024-01-24
V000076,2024-01-05,P010,C057,45,472,21240,0,2162,2024-01-13
V000077,2024-01-05,P008,C021,17,656,11152,0,681,2024-02-01
V000078,2024-01-05,P004,C020,19,10207,193933,5567,845,2024-02-03
V000079,2024-01-05,P016,C061,10,1271,12710,790,631,2024-02-04
V000080,2024-01-05,P017,C018,35,2472,86520,0,1154,2024-01-13
V000081,2024-01-05,P017,C035,33,2416,79728,1122,1987,2024-01-15
V000082,2024-01-05,P016,C020,17,1310,22270,680,1066,2024-02-03
V000083,2024-01-05,P013,C059,8,3117,24936,664,405,2024-01-29
V000084,2024-01-05,P016,C049,13,1407,18291,0,189,2024-01-25
V000085,2024-01-06,P002,C017,20,13843,276860,0,543,2024-02-02
V000086,2024-01-06,P015,C013,21,974,20454,126,690,2024-01-25
V000087,2024-01-06,P005,C010,6,874,5244,156,364,2024-01-22
V000088,2024-01-06,P003,C043,16,2372,37952,448,402,2024-01-15
V000089,2024-01-06,P018,C005,23,2867,65941,759,827,2024-01-31
V000090,2024-01-06,P008,C012,18,619,11142,558,483,2024-01-22
V000091,2024-01-06,P015,C022,13,1006,13078,0,737,2024-01-30
V000092,2024-01-06,P019,C024,59,2863,168917,8083,4216,2024-01-29
V000093,2024-01-06,P005,C030,18,900,16200,0,840,2024-01-13
V000094,2024-01-07,P010,C070,10,438,4380,120,582,2024-01-17
V000095,2024-01-07,P014,C033,18,1175,21150,0,808,2024-01-18
V000096,2024-01-07,P004,C031,16,10338,165408,2592,1005,2024-01-30
V000097,2024-01-07,P001,C051,11,15148,166628,3872,294,2024-01-26
V000098,2024-01-07,P002,C078,103,13162,1355686,3914,3411,2024-01-15
V000099,2024-01-07,P008,C078,30,624,18720,780,1604,2024-01-15
V000100,2024-01-07,P005,C013,71,888,63048,852,4051,2024-01-26
V000101,2024-01-07,P019,C047,26,2951,76726,1274,1667,2024-02-06
V000102,2024-01-07,P006,C026,8,6463,51704,0,339,2024-01-16
V000103,2024-01-08,P006,C033,42,6469,271698,0,1228,2024-01-19
V000104,2024-01-08,P015,C010,86,1069,91934,0,3531,2024-01-24
V000105,2024-01-08,P018,C047,9,2895,26055,45,460,2024-02-07
V000106,2024-01-08,P012,C034,34,1399,47566,1734,1458,2024-01-31
V000107,2024-01-08,P008,C061,45,651,29295,0,2217,2024-02-07
V000108,2024-01-08,P015,C039,24,989,23736,0,1102,2024-02-01
V000109,2024-01-08,P016,C015,9,1313,11817,333,249,2024-02-05
V000110,2024-01-08,P018,C054,28,3011,84308,0,937,2024-02-01
V000111,2024-01-08,P016,C079,2,1395,2790,0,95,2024-01-15
V000112,2024-01-08,P015,C057,188,958,180104,4136,10224,2024-01-16
V000113,2024-01-08,P007,C016,11,752,8272,528,225,2024-02-07
V000114,2024-01-08,P002,C043,14,13040,182560,2240,605,2024-01-17
V000115,2024-01-09,P007,C076,16,802,12832,0,712,2024-01-22
V000116,2024-01-09,P005,C017,25,949,23725,0,1509,2024-02-05
V000117,2024-01-09,P005,C002,9,895,8055,45,395,2024-02-02
V000118,2024-01-09,P009,C007,9,1918,17262,0,431,2024-01-26
V000119,2024-01-09,P015,C047,20,897,17940,1660,886,2024-02-08
V000120,2024-01-09,P002,C067,10,14842,148420,0,535,2024-02-07
V000121,2024-01-09,P013,C055,30,3237,97110,0,1274,2024-01-16
V000122,2024-01-09,P003,C042,22,2381,52382,418,1359,2024-01-30
V000123,2024-01-09,P018,C042,14,2866,40124,476,822,2024-01-30
V000124,2024-01-09,P014,C013,29,1056,30624,1276,716,2024-01-28
V000125,2024-01-09,P018,C028,10,2737,27370,1630,566,2024-02-08
V000126,2024-01-09,P013,C054,29,3167,91843,957,1552,2024-02-02
V000127,2024-01-09,P005,C061,82,861,70602,3198,3236,2024-02-08
V000128,2024-01-09,P018,C072,16,2809,44944,1456,946,2024-01-21
V000129,2024-01-09,P014,C007,13,1113,14469,0,807,2024-01-26
V000130,2024-01-09,P008,C014,13,664,8632,0,668,2024-01-27
V000131,2024-01-09,P008,C055,50,647,32350,150,2142,2024-01-16
V000132,2024-01-09,P009,C004,6,1878,11268,132,331,2024-02-07
V000133,2024-01-09,P001,C024,51,14494,739194,51306,2493,2024-02-01
V000134,2024-01-09,P001,C012,28,15066,421848,12152,1408,2024-01-25
V000135,2024-01-09,P012,C040,60,1431,85860,1140,2575,2024-01-22
V000136,2024-01-10,P005,C021,8,862,6896,304,420,2024-02-06
V000137,2024-01-10,P014,C035,10,1089,10890,110,498,2024-01-20
V000138,2024-01-10,P019,C063,20,3056,61120,0,1581,2024-01-22
V000139,2024-01-10,P002,C001,71,13143,933153,4047,3613,2024-01-24
V000140,2024-01-10,P016,C056,11,1334,14674,176,346,2024-01-22
V000141,2024-01-11,P003,C051,52,2282,118664,6136,1903,2024-01-30
V000142,2024-01-11,P014,C038,7,1046,7322,378,208,2024-02-04
V000143,2024-01-11,P012,C012,18,1403,25254,846,896,2024-01-27
V000144,2024-01-11,P003,C051,4,2506,10024,0,211,2024-01-30
V000145,2024-01-11,P017,C066,4,2322,9288,512,277,2024-02-05
V000146,2024-01-11,P005,C031,11,908,9988,0,562,2024-02-03
V000147,2024-01-11,P003,C023,18,2289,41202,1998,654,2024-02-05
V000148,2024-01-11,P019,C080,13,2712,35256,3744,628,2024-01-23
V000149,2024-01-11,P009,C076,7,1873,13111,189,401,2024-01-24
V000150,2024-01-11,P002,C048,26,12629,328354,14846,1262,2024-02-02
V000151,2024-01-11,P002,C058,58,13438,779404,0,3488,2024-02-01
V000152,2024-01-11,P017,C020,50,2511,125550,0,1189,2024-02-09
V000153,2024-01-11,P003,C065,23,2332,53636,1564,218,2024-02-06
V000154,2024-01-11,P017,C067,24,2524,60576,0,939,2024-02-09
V000155,2024-01-11,P011,C077,15,484,7260,240,612,2024-01-26
V000156,2024-01-12,P020,C020,12,14797,177564,0,644,2024-02-10
V000157,2024-01-12,P013,C017,110,3160,347600,4400,6145,2024-02-08
V000158,2024-01-12,P011,C017,60,498,29880,120,1608,2024-02-08
V000159,2024-01-12,P017,C012,26,2397,62322,1378,1396,2024-01-28
V000160,2024-01-12,P006,C028,9,6557,59013,0,871,2024-02-11
V000161,2024-01-12,P005,C010,6,861,5166,234,266,2024-01-28
V000162,2024-01-12,P017,C005,86,2365,203390,7310,2930,2024-02-06
V000163,2024-01-12,P005,C021,6,852,5112,288,160,2024-02-08
V000164,2024-01-12,P015,C006,14,983,13762,0,812,2024-01-24
V000165,2024-01-12,P010,C058,13,477,6201,0,526,2024-02-02
V000166,2024-01-12,P007,C048,31,755,23405,1395,1627,2024-02-03
V000167,2024-01-12,P013,C065,49,3282,160818,0,1240,2024-02-07
V000168,2024-01-13,P009,C007,70,1871,130970,2030,3019,2024-01-30
V000169,2024-01-13,P017,C016,7,2423,16961,189,496,2024-02-12
V000170,2024-01-13,P005,C056,45,876,39420,1080,2342,2024-01-25
V000171,2024-01-13,P013,C011,17,3394,57698,0,601,2024-02-07
V000172,2024-01-14,P011,C019,11,513,5643,0,316,2024-01-29
V000173,2024-01-14,P005,C061,18,921,16578,0,889,2024-02-13
V000174,2024-01-14,P005,C071,70,852,59640,3360,3824,2024-02-01
V000175,2024-01-14,P008,C039,11,630,6930,220,354,2024-02-07
V000176,2024-01-14,P003,C015,42,2284,95928,4872,1730,2024-02-11
V000177,2024-01-14,P019,C031,28,3098,86744,0,1263,2024-02-06
V000178,2024-01-14,P019,C054,7,2902,20314,686,303,2024-02-07
V000179,2024-01-14,P017,C070,40,2370,94800,3200,1641,2024-01-24
V000180,2024-01-14,P016,C006,32,1343,42976,224,903,2024-01-26
V000181,2024-01-14,P019,C043,10,2920,29200,800,596,2024-01-23
V000182,2024-01-14,P015,C062,43,1035,44505,0,2280,2024-02-06
V000183,2024-01-14,P015,C005,15,983,14745,0,725,2024-02-08
V000184,2024-01-15,P017,C051,6,2479,14874,0,333,2024-02-03
V000185,2024-01-15,P002,C043,5,12769,63845,2155,248,2024-01-24
V000186,2024-01-15,P015,C050,16,968,15488,192,548,2024-01-23
V000187,2024-01-15,P017,C035,68,2552,173536,0,3587,2024-01-25
V000188,2024-01-15,P006,C070,15,6115,91725,1275,808,2024-01-25
V000189,2024-01-15,P015,C078,26,898,23348,2132,1287,2024-01-23
V000190,2024-01-15,P012,C079,5,1390,6950,300,307,2024-01-22
V000191,2024-01-15,P006,C004,7,6211,43477,0,293,2024-02-13
V000192,2024-01-15,P003,C031,32,2319,74208,2592,1774,2024-02-07
V000193,2024-01-15,P020,C020,10,13943,139430,5570,384,2024-02-13
V000194,2024-01-15,P013,C041,25,3338,83450,0,1445,2024-02-13
V000195,2024-01-15,P016,C067,15,1347,20205,45,814,2024-02-13
V000196,2024-01-15,P015,C028,50,1028,51400,0,3068,2024-02-14
V000197,2024-01-16,P006,C057,38,6029,229102,6498,1593,2024-01-24
V000198,2024-01-16,P010,C021,42,442,18564,336,1876,2024-02-12
V000199,2024-01-16,P007,C018,11,777,8547,253,627,2024-01-24
V000200,2024-01-16,P015,C071,8,972,7776,64,253,2024-02-03
V000201,2024-01-16,P014,C053,16,1056,16896,704,1046,2024-01-31
V000202,2024-01-16,P018,C076,8,2949,23592,0,377,2024-01-29
V000203,2024-01-16,P005,C039,11,893,9823,77,377,2024-02-09
V000204,2024-01-16,P017,C037,33,2378,78474,2376,1109,2024-01-25
V000205,2024-01-16,P005,C039,23,873,20079,621,749,2024-02-09
V000206,2024-01-16,P019,C020,7,3078,21546,0,271,2024-02-14
V000207,2024-01-16,P019,C006,25,3012,75300,0,815,2024-01-28
V000208,2024-01-16,P001,C064,52,15211,790972,15028,1928,2024-02-04
V000209,2024-01-16,P008,C052,15,673,10095,0,746,2024-01-29
V000210,2024-01-16,P016,C060,8,1321,10568,232,501,2024-01-29
V000211,2024-01-16,P012,C052,10,1409,14090,410,410,2024-01-29
V000212,2024-01-16,P015,C016,14,1003,14042,0,709,2024-02-15
V000213,2024-01-16,P013,C079,13,3326,43238,0,581,2024-01-23
V000214,2024-01-16,P010,C064,24,453,10872,0,1342,2024-02-04
V000215,2024-01-17,P010,C064,40,444,17760,240,1452,2024-02-05
V000216,2024-01-17,P001,C014,10,15370,153700,1300,248,2024-02-04
V000217,2024-01-17,P012,C006,15,1472,22080,0,890,2024-01-29
V000218,2024-01-17,P003,C050,20,2353,47060,940,1609,2024-01-25
V000219,2024-01-17,P020,C016,22,14925,328350,0,1272,2024-02-16
V000220,2024-01-18,P017,C006,14,2337,32718,1582,691,2024-01-30
V000221,2024-01-18,P017,C018,12,2587,31044,0,915,2024-01-26
V000222,2024-01-18,P010,C076,6,426,2556,144,247,2024-01-31
V000223,2024-01-18,P010,C061,35,430,15050,700,533,2024-02-17
V000224,2024-01-18,P019,C040,67,2991,200397,603,2842,2024-01-31
V000225,2024-01-18,P016,C034,41,1272,52152,3198,1204,2024-02-10
V000226,2024-01-18,P006,C068,29,6267,181743,0,1140,2024-02-14
V000227,2024-01-18,P008,C005,26,659,17134,0,1483,2024-02-12
V000228,2024-01-18,P014,C020,17,1047,17799,901,762,2024-02-16
V000229,2024-01-18,P016,C008,32,1195,38240,4960,932,2024-02-05
V000230,2024-01-18,P016,C068,18,1282,23076,1224,717,2024-02-14
V000231,2024-01-18,P009,C079,13,1890,24570,130,714,2024-01-25
V000232,2024-01-18,P010,C037,41,432,17712,738,1884,2024-01-27
V000233,2024-01-18,P018,C036,11,2692,29612,2288,420,2024-02-03
V000234,2024-01-18,P013,C045,14,3177,44478,322,479,2024-01-27
V000235,2024-01-18,P015,C033,28,993,27804,0,1024,2024-01-29
V000236,2024-01-19,P009,C018,35,1903,66605,0,1767,2024-01-27
V000237,2024-01-19,P011,C061,45,533,23985,0,1585,2024-02-18
V000238,2024-01-19,P016,C026,29,1346,39034,116,1424,2024-01-28
V000239,2024-01-19,P003,C074,6,2414,14484,0,254,2024-02-16
V000240,2024-01-19,P006,C054,33,6851,226083,0,829,2024-02-12
V000241,2024-01-19,P013,C064,4,3264,13056,0,151,2024-02-07
V000242,2024-01-19,P002,C002,11,13576,149336,0,443,2024-02-12
V000243,2024-01-19,P015,C070,25,1007,25175,0,1390,2024-01-29
V000244,2024-01-19,P009,C025,33,1889,62337,363,917,2024-01-30
V000245,2024-01-19,P006,C002,70,5867,410690,23310,2566,2024-02-12
V000246,2024-01-19,P006,C079,42,6476,271992,0,2279,2024-01-26
V000247,2024-01-19,P006,C018,13,6413,83369,0,592,2024-01-27
V000248,2024-01-19,P015,C035,41,979,40139,41,1771,2024-01-29
V000249,2024-01-19,P012,C031,13,1342,17446,1404,580,2024-02-11
V000250,2024-01-19,P010,C016,16,467,7472,0,662,2024-02-18
V000251,2024-01-19,P015,C078,12,978,11736,24,414,2024-01-27
V000252,2024-01-19,P007,C032,33,808,26664,0,1015,2024-02-15
V000253,2024-01-19,P017,C047,6,2550,15300,0,304,2024-02-18
V000254,2024-01-19,P017,C026,22,2401,52822,1078,1272,2024-01-28
V000255,2024-01-19,P004,C027,32,10821,346272,0,1193,2024-02-03
V000256,2024-01-19,P002,C059,9,12656,113904,4896,351,2024-02-12
V000257,2024-01-20,P010,C003,10,449,4490,10,292,2024-02-02
V000258,2024-01-20,P002,C055,16,14278,228448,0,703,2024-01-27
V000259,2024-01-20,P003,C061,8,2417,19336,0,198,2024-02-19
V000260,2024-01-20,P014,C048,48,1157,55536,0,1243,2024-02-11
V000261,2024-01-20,P013,C011,36,3042,109512,5688,1466,2024-02-14
V000262,2024-01-20,P012,C016,9,1369,12321,729,374,2024-02-19
V000263,2024-01-20,P008,C001,17,630,10710,340,856,2024-02-03
V000264,2024-01-20,P008,C032,19,667,12673,0,1286,2024-02-16
V000265,2024-01-20,P004,C005,36,10577,380772,0,728,2024-02-14
V000266,2024-01-20,P001,C031,13,16216,210808,0,629,2024-02-12
V000267,2024-01-20,P002,C032,31,13232,410192,0,1654,2024-02-16
V000268,2024-01-20,P002,C018,20,13501,270020,0,544,2024-01-28
V000269,2024-01-21,P019,C077,107,3018,322926,0,7431,2024-02-05
V000270,2024-01-21,P017,C029,17,2342,39814,1836,670,2024-02-17
V000271,2024-01-21,P006,C055,21,6026,126546,3654,1245,2024-01-28
V000272,2024-01-21,P013,C068,14,3264,45696,0,762,2024-02-17
V000273,2024-01-21,P018,C061,13,2935,38155,0,517,2024-02-20
V000274,2024-01-21,P015,C008,174,963,167562,2958,7435,2024-02-08
V000275,2024-01-21,P008,C033,7,689,4823,0,239,2024-02-01
V000276,2024-01-22,P018,C025,8,2877,23016,184,343,2024-02-02
V000277,2024-01-22,P003,C025,45,2372,106740,1260,1692,2024-02-02
V000278,2024-01-22,P007,C043,13,798,10374,26,327,2024-01-31
V000279,2024-01-22,P016,C032,41,1322,54202,1148,2065,2024-02-18
V000280,2024-01-22,P011,C037,15,491,7365,135,783,2024-01-31
V000281,2024-01-22,P017,C064,16,2425,38800,400,400,2024-02-10
V000282,2024-01-23,P007,C048,16,830,13280,0,482,2024-02-14
V000283,2024-01-23,P001,C034,23,14644,336812,19688,808,2024-02-15
V000284,2024-01-23,P007,C043,9,801,7209,0,542,2024-02-01
V000285,2024-01-23,P011,C033,35,495,17325,175,896,2024-02-03
V000286,2024-01-23,P015,C022,29,1008,29232,0,1642,2024-02-16
V000287,2024-01-23,P006,C070,23,6558,150834,0,1264,2024-02-02
V000288,2024-01-23,P002,C001,10,13284,132840,0,637,2024-02-06
V000289,2024-01-23,P001,C028,20,14906,298120,11880,660,2024-02-22
V000290,2024-01-23,P020,C062,21,15308,321468,0,987,2024-02-15
V000291,2024-01-23,P018,C037,54,2941,158814,0,2264,2024-02-01
V000292,2024-01-23,P004,C068,12,9834,118008,7992,496,2024-02-19
V000293,2024-01-23,P009,C051,18,1882,33876,324,638,2024-02-11
V000294,2024-01-23,P003,C005,9,2373,21357,243,393,2024-02-17
V000295,2024-01-23,P001,C022,25,16950,423750,0,1010,2024-02-16
V000296,2024-01-24,P002,C030,45,13374,601830,0,2086,2024-01-31
V000297,2024-01-24,P009,C070,21,1952,40992,0,850,2024-02-03
V000298,2024-01-24,P007,C076,12,750,9000,600,426,2024-02-06
V000299,2024-01-24,P018,C043,12,2939,35268,0,327,2024-02-02
V000300,2024-01-24,P003,C065,30,2450,73500,0,1501,2024-02-19
V000301,2024-01-24,P003,C044,27,2217,59859,4941,732,2024-02-07
V000302,2024-01-24,P011,C004,40,488,19520,480,1906,2024-02-22
V000303,2024-01-24,P018,C049,15,2877,43155,345,610,2024-02-13
V000304,2024-01-24,P020,C038,63,14756,929628,0,3051,2024-02-17
V000305,2024-01-24,P005,C050,15,927,13905,0,680,2024-02-01
V000306,2024-01-24,P012,C035,16,1426,22816,384,713,2024-02-03
V000307,2024-01-24,P003,C046,23,2436,56028,0,497,2024-02-07
V000308,2024-01-24,P001,C038,12,15391,184692,1308,358,2024-02-17
V000309,2024-01-24,P008,C074,21,659,13839,0,1119,2024-02-21
V000310,2024-01-24,P009,C064,12,1891,22692,108,660,2024-02-12
V000311,2024-01-24,P003,C047,13,2320,30160,1040,437,2024-02-23
V000312,2024-01-24,P007,C059,10,824,8240,0,416,2024-02-17
V000313,2024-01-24,P020,C049,33,14026,462858,15642,2112,2024-02-13
V000314,2024-01-24,P020,C018,11,14305,157355,2145,353,2024-02-01
V000315,2024-01-24,P006,C051,41,6115,250715,3485,1307,2024-02-12
V000316,2024-01-25,P008,C042,9,641,5769,81,438,2024-02-15
V000317,2024-01-25,P019,C026,25,2945,73625,1375,780,2024-02-03
V000318,2024-01-25,P015,C027,18,958,17244,396,436,2024-02-09
V000319,2024-01-25,P014,C064,11,1100,12100,0,571,2024-02-13
V000320,2024-01-25,P014,C049,19,1013,19247,1653,834,2024-02-14
V000321,2024-01-25,P014,C070,66,1029,67914,4686,1994,2024-02-04
V000322,2024-01-25,P004,C032,26,10433,271258,1742,1095,2024-02-21
V000323,2024-01-25,P013,C043,49,3286,161014,0,2235,2024-02-03
V000324,2024-01-25,P017,C067,24,2465,59160,0,1354,2024-02-23
V000325,2024-01-25,P015,C076,25,1019,25475,0,1120,2024-02-07
V000326,2024-01-25,P010,C054,78,442,34476,624,4209,2024-02-18
V000327,2024-01-25,P007,C067,19,760,14440,760,988,2024-02-23
V000328,2024-01-25,P011,C009,6,526,3156,0,363,2024-02-18
V000329,2024-01-25,P004,C022,20,10311,206220,3780,1121,2024-02-18
V000330,2024-01-25,P015,C030,49,1000,49000,0,2998,2024-02-01
V000331,2024-01-25,P013,C004,18,3278,59004,0,814,2024-02-23
V000332,2024-01-25,P009,C009,30,1838,55140,1860,1271,2024-02-18
V000333,2024-01-25,P007,C059,5,727,3635,365,235,2024-02-18
V000334,2024-01-25,P011,C077,16,512,8192,0,838,2024-02-09
V000335,2024-01-25,P015,C080,6,954,5724,156,117,2024-02-06
V000336,2024-01-25,P019,C011,26,3004,78104,0,1325,2024-02-19
V000337,2024-01-25,P012,C019,20,1482,29640,0,1080,2024-02-09
V000338,2024-01-26,P016,C069,36,1410,50760,0,1620,2024-02-04
V000339,2024-01-26,P016,C037,11,1335,14685,165,508,2024-02-04
V000340,2024-01-26,P012,C002,19,1401,26619,931,1050,2024-02-19
V000341,2024-01-26,P016,C053,28,1379,38612,0,931,2024-02-10
V000342,2024-01-26,P003,C073,14,2350,32900,700,606,2024-02-22
V000343,2024-01-26,P015,C073,63,964,60732,1008,2721,2024-02-22
V000344,2024-01-26,P004,C035,8,11066,88528,0,400,2024-02-05
V000345,2024-01-26,P018,C028,88,2786,245168,10032,7810,2024-02-25
V000346,2024-01-26,P015,C034,7,834,5838,1022,415,2024-02-18
V000347,2024-01-27,P007,C076,91,777,70707,2093,3358,2024-02-09
V000348,2024-01-27,P020,C018,44,13830,608520,29480,1837,2024-02-04
V000349,2024-01-27,P006,C042,42,5719,240198,20202,1341,2024-02-17
V000350,2024-01-27,P017,C013,18,2429,43722,378,1121,2024-02-15
V000351,2024-01-27,P005,C032,11,901,9911,0,749,2024-02-23
V000352,2024-01-28,P016,C019,22,1306,28732,968,1139,2024-02-12
V000353,2024-01-28,P003,C052,20,2474,49480,0,810,2024-02-10
V000354,2024-01-28,P016,C042,40,1362,54480,0,1626,2024-02-18
V000355,2024-01-28,P015,C046,41,968,39688,492,2205,2024-02-11
V000356,2024-01-28,P018,C074,47,3133,147251,0,2248,2024-02-25
V000357,2024-01-28,P006,C057,3,6269,18807,0,124,2024-02-05
V000358,2024-01-28,P012,C033,23,1392,32016,1334,720,2024-02-08
V000359,2024-01-28,P008,C055,36,676,24336,0,1623,2024-02-04
V000360,2024-01-29,P019,C029,20,3096,61920,0,911,2024-02-25
V000361,2024-01-29,P004,C055,30,10521,315630,0,1504,2024-02-05
V000362,2024-01-29,P004,C014,3,10912,32736,0,182,2024-02-16
V000363,2024-01-29,P005,C019,6,885,5310,90,242,2024-02-13
V000364,2024-01-29,P012,C028,23,1384,31832,1518,1256,2024-02-28
V000365,2024-01-29,P007,C012,15,805,12075,0,544,2024-02-14
V000366,2024-01-29,P003,C032,23,2286,52578,2622,735,2024-02-25
V000367,2024-01-29,P001,C039,8,15703,125624,0,449,2024-02-22
V000368,2024-01-30,P008,C064,16,644,10304,96,664,2024-02-18
V000369,2024-01-30,P001,C047,51,14955,762705,27795,2989,2024-02-29
V000370,2024-01-30,P016,C010,20,1301,26020,980,898,2024-02-15
V000371,2024-01-30,P013,C011,28,3227,90356,0,1375,2024-02-24
V000372,2024-01-30,P003,C066,11,2278,25058,1342,379,2024-02-24
V000373,2024-01-31,P010,C056,106,456,48336,0,4962,2024-02-12
V000374,2024-01-31,P014,C015,17,1077,18309,391,1078,2024-02-28
V000375,2024-01-31,P006,C016,14,6274,87836,0,513,2024-03-01
V000376,2024-01-31,P012,C017,26,1487,38662,0,1004,2024-02-27
V000377,2024-01-31,P014,C035,20,1153,23060,0,847,2024-02-10
V000378,2024-01-31,P016,C059,20,1368,27360,0,788,2024-02-24
V000379,2024-02-01,P009,C014,77,1982,152614,0,4471,2024-02-19
V000380,2024-02-01,P001,C006,9,15799,142191,0,372,2024-02-13
V000381,2024-02-01,P002,C071,65,13016,846040,11960,2464,2024-02-19
V000382,2024-02-01,P008,C054,39,664,25896,0,1214,2024-02-25
