purchase_id,purchase_date,product_id,supplier_id,quantity,unit_cost,total_cost,freight
A000047,2024-01-21,P018,S004,206,1899,391194,19024
A000048,2024-01-21,P011,S001,118,281,33158,1852
A000049,2024-01-21,P004,S006,133,8308,1104964,78964
A000050,2024-01-21,P001,S002,247,11605,2866435,117122
A000051,2024-01-23,P011,S003,299,292,87308,3820
A000052,2024-01-23,P016,S005,109,910,99190,4499
A000053,2024-01-23,P018,S001,161,1803,290283,11596
A000054,2024-01-25,P015,S002,174,661,115014,6425
A000055,2024-01-27,P016,S004,158,883,139514,5238
A000056,2024-01-27,P006,S005,149,4643,691807,40308
A000057,2024-01-29,P017,S003,192,1643,315456,20629
A000058,2024-01-29,P018,S002,549,1728,948672,25327
A000059,2024-01-29,P005,S002,274,644,176456,10262
A000060,2024-01-29,P010,S005,212,253,53636,3008
A000061,2024-01-29,P018,S006,100,1785,178500,4516
A000062,2024-01-29,P009,S002,109,1309,142681,7041
A000063,2024-01-31,P003,S004,225,1778,400050,22903
A000064,2024-01-31,P009,S004,114,1331,151734,6341
A000065,2024-01-31,P017,S005,300,1661,498300,32747
A000066,2024-01-31,P007,S004,234,565,132210,9878
A000067,2024-02-02,P014,S006,147,731,107457,3250
A000068,2024-02-02,P018,S007,419,1755,735345,28893
A000069,2024-02-04,P016,S002,244,827,201788,12760
A000070,2024-02-04,P010,S003,127,225,28575,2034
A000071,2024-02-04,P015,S001,147,683,100401,4213
A000072,2024-02-04,P017,S006,100,1653,165300,7217
A000073,2024-02-04,P014,S003,423,803,339669,20482
A000074,2024-02-06,P003,S001,248,1739,431272,18628
A000075,2024-02-06,P016,S004,377,921,347217,15641
A000076,2024-02-06,P020,S005,195,9479,1848405,122200
A000077,2024-02-06,P005,S004,133,683,90839,5769
A000078,2024-02-06,P014,S001,134,779,104386,5922
A000079,2024-02-08,P006,S002,177,4857,859689,43875
A000080,2024-02-08,P008,S002,220,439,96580,3617
A000081,2024-02-08,P005,S003,356,686,244216,12232
A000082,2024-02-08,P006,S006,151,4677,706227,24988
A000083,2024-02-10,P020,S004,100,9593,959300,33826
A000084,2024-02-10,P006,S006,159,4827,767493,22642
A000085,2024-02-10,P018,S001,184,1754,322736,19269
A000086,2024-02-10,P019,S001,270,2238,604260,19570
A000087,2024-02-10,P020,S007,100,9109,910900,29792
A000088,2024-02-10,P019,S001,153,2317,354501,12457
A000089,2024-02-10,P011,S005,117,288,33696,1507
A000090,2024-02-10,P004,S004,126,8274,1042524,65279
A000091,2024-02-12,P007,S005,143,566,80938,2103
A000092,2024-02-12,P008,S003,141,441,62181,3866
A000093,2024-02-12,P001,S004,247,12840,3171480,231588
A000094,2024-02-12,P008,S001,100,490,49000,2149
A000095,2024-02-14,P016,S003,350,884,309400,9382
A000096,2024-02-14,P009,S005,262,1307,342434,15144
A000097,2024-02-16,P007,S005,340,589,200260,6315
A000098,2024-02-16,P017,S004,106,1583,167798,11270
A000099,2024-02-16,P014,S002,322,723,232806,6016
A000100,2024-02-18,P003,S006,292,1884,550128,36006
A000101,2024-02-18,P009,S006,224,1323,296352,20757
A000102,2024-02-18,P019,S003,276,2242,618792,23872
A000103,2024-02-20,P002,S003,376,10420,3917920,230760
A000104,2024-02-20,P019,S005,104,2266,235664,14972
A000105,2024-02-20,P003,S001,100,1825,182500,8909
A000106,2024-02-20,P015,S001,100,734,73400,3411
A000107,2024-02-20,P010,S002,100,239,23900,770
A000108,2024-02-20,P002,S001,191,10544,2013904,81937
A000109,2024-02-20,P006,S003,232,4526,1050032,46399
A000110,2024-02-20,P005,S002,255,666,169830,6507
A000111,2024-02-22,P015,S001,157,696,109272,6545
A000112,2024-02-22,P014,S007,194,709,137546,10243
A000113,2024-02-24,P009,S006,186,1290,239940,12290
A000114,2024-02-24,P007,S005,243,531,129033,8944
A000115,2024-02-24,P011,S001,171,307,52497,2581
A000116,2024-02-24,P002,S003,193,10774,2079382,123422
A000117,2024-02-24,P015,S004,316,704,222464,14934
A000118,2024-02-24,P010,S002,193,256,49408,3258
A000119,2024-02-24,P006,S007,282,4592,1294944,90738
A000120,2024-02-26,P008,S007,320,446,142720,7013
A000121,2024-02-26,P001,S002,208,13312,2768896,193709
A000122,2024-02-26,P003,S005,147,1784,262248,9337
A000123,2024-02-28,P004,S007,246,8743,2150778,116563
A000124,2024-02-28,P002,S007,375,10659,3997125,148175
A000125,2024-02-28,P009,S001,472,1294,610768,31425
A000126,2024-02-28,P016,S004,183,889,162687,7258
A000127,2024-02-28,P011,S005,219,286,62634,2943
A000128,2024-02-28,P017,S003,172,1806,310632,14518
A000129,2024-02-28,P010,S003,179,256,45824,2987
A000130,2024-02-28,P005,S006,155,659,102145,5668
A000131,2024-03-01,P006,S007,137,4892,670204,33819
A000132,2024-03-01,P004,S003,218,8072,1759696,104618
A000133,2024-03-01,P006,S006,123,4954,609342,21949
A000134,2024-03-03,P009,S001,139,1261,175279,7741
A000135,2024-03-03,P007,S004,117,573,67041,3819
A000136,2024-03-03,P007,S002,238,561,133518,5324
A000137,2024-03-05,P015,S006,169,710,119990,4921
A000138,2024-03-05,P018,S003,184,1623,298632,19469
A000139,2024-03-05,P012,S003,533,828,441324,24759
A000140,2024-03-05,P003,S003,726,1922,1395372,74651
A000141,2024-03-05,P008,S006,178,441,78498,2366
A000142,2024-03-05,P009,S006,421,1357,571297,32632
A000143,2024-03-05,P005,S005,196,626,122696,3770
A000144,2024-03-05,P001,S004,140,12806,1792840,51864
A000145,2024-03-07,P012,S003,207,836,173052,9568
A000146,2024-03-07,P013,S001,100,2179,217900,12074
A000147,2024-03-07,P003,S004,100,1849,184900,12979
A000148,2024-03-07,P003,S006,109,1717,187153,6680
A000149,2024-03-07,P004,S003,243,8347,2028321,90295
A000150,2024-03-07,P012,S006,100,883,88300,6556
A000151,2024-03-09,P020,S001,148,9565,1415620,97417
A000152,2024-03-09,P005,S006,278,599,166522,7889
A000153,2024-03-09,P019,S006,112,2365,264880,15855
A000154,2024-03-09,P008,S002,137,476,65212,3663
A000155,2024-03-09,P005,S001,312,722,225264,15325
A000156,2024-03-09,P017,S005,254,1743,442722,12428
A000157,2024-03-09,P014,S006,100,811,81100,3823
A000158,2024-03-11,P002,S006,450,10468,4710600,210823
A000159,2024-03-11,P003,S007,453,1872,848016,45214
A000160,2024-03-13,P018,S007,154,1724,265496,13902
A000161,2024-03-13,P008,S001,113,407,45991,2477
A000162,2024-03-13,P016,S002,140,932,130480,5597
A000163,2024-03-13,P001,S003,343,12504,4288872,246560
A000164,2024-03-13,P013,S006,100,2099,209900,7261
A000165,2024-03-13,P018,S006,100,1824,182400,11683
A000166,2024-03-13,P015,S007,188,648,121824,8431
A000167,2024-03-13,P017,S003,143,1718,245674,14983
A000168,2024-03-15,P001,S002,159,12766,2029794,99957
A000169,2024-03-15,P011,S002,170,297,50490,1905
A000170,2024-03-15,P009,S003,167,1205,201235,6477
A000171,2024-03-15,P001,S007,314,12841,4032074,156583
A000172,2024-03-15,P007,S007,229,551,126179,7463
A000173,2024-03-15,P017,S003,102,1691,172482,6637
A000174,2024-03-15,P008,S004,360,434,156240,9283
A000175,2024-03-17,P005,S003,399,627,250173,18292
A000176,2024-03-17,P007,S002,112,532,59584,4014
A000177,2024-03-17,P008,S003,124,440,54560,2777
A000178,2024-03-17,P016,S007,315,889,280035,19347
A000179,2024-03-17,P016,S006,150,917,137550,9548
A000180,2024-03-17,P006,S006,109,4437,483633,17285
A000181,2024-03-17,P009,S002,100,1229,122900,6471
A000182,2024-03-17,P012,S007,300,886,265800,7082
A000183,2024-03-19,P005,S001,100,651,65100,2857
A000184,2024-03-21,P007,S004,369,565,208485,12830
A000185,2024-03-21,P010,S005,100,230,23000,1555
A000186,2024-03-21,P004,S007,100,8025,802500,32484
A000187,2024-03-21,P011,S006,103,288,29664,1023
A000188,2024-03-21,P011,S005,100,292,29200,1521
A000189,2024-03-23,P017,S006,204,1829,373116,16791
A000190,2024-03-23,P008,S007,100,478,47800,3132
A000191,2024-03-25,P004,S003,140,7926,1109640,71774
A000192,2024-03-25,P015,S001,383,698,267334,10147
A000193,2024-03-27,P003,S006,314,1943,610102,26577
A000194,2024-03-27,P009,S004,162,1321,214002,7292
A000195,2024-03-29,P016,S006,264,893,235752,6101
A000196,2024-03-29,P012,S007,135,948,127980,6485
A000197,2024-03-29,P009,S003,114,1309,149226,8212
A000198,2024-03-29,P014,S007,142,775,110050,5678
A000199,2024-03-29,P005,S006,132,635,83820,3807
A000200,2024-03-29,P012,S006,237,932,220884,8539
A000201,2024-03-29,P018,S006,100,1790,179000,7893
A000202,2024-03-31,P019,S006,240,2238,537120,29195
A000203,2024-03-31,P012,S006,100,918,91800,3322
A000204,2024-03-31,P016,S002,351,852,299052,17313
A000205,2024-03-31,P020,S001,185,9510,1759350,78360
A000206,2024-03-31,P017,S004,169,1672,282568,18734
A000207,2024-03-31,P015,S005,296,710,210160,6165
A000208,2024-03-31,P004,S004,210,8202,1722420,52934
A000209,2024-04-02,P013,S007,967,2149,2078083,131186
A000210,2024-04-02,P002,S006,113,10065,1137345,60933
A000211,2024-04-02,P015,S003,234,747,174798,11028
A000212,2024-04-04,P020,S005,261,9772,2550492,79242
A000213,2024-04-04,P004,S004,130,8132,1057160,49892
A000214,2024-04-04,P001,S003,351,12756,4477356,185601
A000215,2024-04-04,P017,S005,802,1690,1355380,41696
A000216,2024-04-04,P008,S003,170,446,75820,5340
A000217,2024-04-06,P002,S001,100,10791,1079100,28947
A000218,2024-04-06,P004,S007,470,8091,3802770,163285
A000219,2024-04-08,P006,S004,253,4764,1205292,34429
A000220,2024-04-08,P018,S004,125,1781,222625,8555
A000221,2024-04-08,P005,S006,276,645,178020,6346
A000222,2024-04-08,P009,S006,100,1303,130300,6699
A000223,2024-04-08,P008,S007,100,446,44600,3146
A000224,2024-04-08,P013,S005,252,2307,581364,37790
A000225,2024-04-08,P010,S007,107,248,26536,1462
A000226,2024-04-08,P007,S007,181,548,99188,3205
A000227,2024-04-10,P008,S003,113,462,52206,1538
A000228,2024-04-10,P008,S007,440,447,196680,13614
A000229,2024-04-10,P016,S001,262,930,243660,16294
A000230,2024-04-12,P016,S006,152,877,133304,6618
A000231,2024-04-12,P002,S006,350,10493,3672550,160738
A000232,2024-04-12,P020,S003,424,9690,4108560,265339
A000233,2024-04-12,P012,S004,230,915,210450,11090
A000234,2024-04-12,P014,S004,406,717,291102,16059
A000235,2024-04-14,P005,S003,291,661,192351,5205
A000236,2024-04-14,P013,S001,412,2084,858608,30418
A000237,2024-04-14,P013,S006,162,2135,345870,19751
A000238,2024-04-14,P010,S002,192,258,49536,2537
A000239,2024-04-16,P015,S001,169,675,114075,2974
A000240,2024-04-16,P010,S004,429,269,115401,3112
A000241,2024-04-16,P014,S003,134,731,97954,4337
A000242,2024-04-16,P007,S004,100,556,55600,3245
A000243,2024-04-18,P007,S005,100,559,55900,3804
A000244,2024-04-18,P010,S007,175,255,44625,3274
A000245,2024-04-20,P001,S003,231,13256,3062136,152860
A000246,2024-04-20,P002,S007,109,10240,1116160,46608
A000247,2024-04-20,P015,S007,498,698,347604,19636
A000248,2024-04-22,P020,S001,100,8876,887600,48359
A000249,2024-04-22,P020,S002,494,9737,4810078,123736
A000250,2024-04-22,P010,S003,328,253,82984,5763
A000251,2024-04-22,P002,S006,201,11667,2345067,129446
A000252,2024-04-22,P018,S002,244,1760,429440,24118
A000253,2024-04-22,P018,S007,100,1809,180900,4648
A000254,2024-04-24,P007,S002,256,566,144896,10272
A000255,2024-04-26,P007,S006,159,567,90153,5288
A000256,2024-04-26,P003,S005,132,1779,234828,16463
A000257,2024-04-26,P003,S006,283,1696,479968,12280
A000258,2024-04-26,P020,S005,198,9482,1877436,69085
A000259,2024-04-26,P020,S004,312,9796,3056352,179798
A000260,2024-04-26,P019,S002,212,2157,457284,12901
A000261,2024-04-26,P002,S006,237,10145,2404365,117907
A000262,2024-04-26,P008,S002,232,413,95816,6683
A000263,2024-04-28,P010,S006,168,264,44352,2797
A000264,2024-04-28,P009,S001,100,1316,131600,5063
A000265,2024-04-28,P005,S003,129,645,83205,2463
A000266,2024-04-28,P016,S005,146,960,140160,8751
A000267,2024-04-28,P002,S002,133,10369,1379077,38289
A000268,2024-04-28,P003,S003,170,1759,299030,20425
A000269,2024-04-28,P001,S003,302,11882,3588364,235062
A000270,2024-04-28,P008,S003,238,458,109004,7358
A000271,2024-04-30,P012,S001,106,904,95824,4200
A000272,2024-04-30,P006,S004,285,4862,1385670,96696
A000273,2024-04-30,P018,S004,304,1702,517408,26905
A000274,2024-05-02,P003,S006,172,1845,317340,16394
A000275,2024-05-02,P006,S005,298,4826,1438148,92983
A000276,2024-05-02,P018,S006,921,1717,1581357,44544
A000277,2024-05-02,P001,S005,233,13124,3057892,108800
A000278,2024-05-02,P013,S003,100,2140,214000,11316
A000279,2024-05-02,P011,S001,148,304,44992,1184
A000280,2024-05-02,P002,S003,216,10021,2164536,56779
A000281,2024-05-04,P009,S004,199,1342,267058,15270
A000282,2024-05-04,P011,S006,139,303,42117,1099
A000283,2024-05-04,P017,S007,160,1554,248640,11021
A000284,2024-05-04,P006,S002,377,4959,1869543,70512
A000285,2024-05-04,P004,S002,132,8096,1068672,36068
A000286,2024-05-04,P003,S001,100,1792,179200,4615
A000287,2024-05-06,P008,S007,100,460,46000,3128
A000288,2024-05-06,P014,S002,165,801,132165,8205
A000289,2024-05-06,P012,S004,187,970,181390,6928
A000290,2024-05-08,P004,S003,100,8181,818100,44378
A000291,2024-05-08,P004,S006,406,7635,3099810,205313
A000292,2024-05-08,P011,S004,336,290,97440,5487
A000293,2024-05-08,P008,S002,265,469,124285,8342
A000294,2024-05-08,P011,S005,306,288,88128,3791
A000295,2024-05-08,P017,S003,271,1796,486716,25197
A000296,2024-05-08,P002,S006,600,11342,6805200,264039
A000297,2024-05-10,P019,S006,282,2213,624066,23035
A000298,2024-05-10,P003,S002,577,1968,1135536,50022
A000299,2024-05-12,P011,S004,269,287,77203,5371
A000300,2024-05-12,P001,S006,190,11677,2218630,115811
A000301,2024-05-12,P010,S007,177,241,42657,1393
A000302,2024-05-12,P020,S003,163,8808,1435704,49451
A000303,2024-05-12,P012,S005,100,893,89300,5493
A000304,2024-05-12,P002,S006,114,10408,1186512,84777
A000305,2024-05-14,P001,S001,166,13178,2187548,100754
A000306,2024-05-14,P002,S001,301,10792,3248392,211864
A000307,2024-05-14,P008,S007,274,432,118368,4160
A000308,2024-05-14,P004,S003,124,7937,984188,36467
A000309,2024-05-14,P020,S007,114,9632,1098048,45423
A000310,2024-05-16,P004,S007,100,8566,856600,32353
A000311,2024-05-16,P001,S006,214,12373,2647822,177293
A000312,2024-05-16,P011,S007,196,307,60172,2538
A000313,2024-05-16,P002,S002,100,10498,1049800,61464
A000314,2024-05-16,P019,S004,128,2186,279808,20743
A000315,2024-05-16,P017,S006,139,1704,236856,12568
A000316,2024-05-16,P002,S006,148,10671,1579308,63297
A000317,2024-05-18,P018,S006,183,1770,323910,19588
A000318,2024-05-18,P010,S004,168,227,38136,1310
A000319,2024-05-18,P020,S004,350,9490,3321500,194596
A000320,2024-05-20,P001,S003,158,12167,1922386,141784
A000321,2024-05-20,P012,S006,125,888,111000,4057
A000322,2024-05-20,P010,S002,131,234,30654,937
A000323,2024-05-22,P013,S005,174,2207,384018,27875
A000324,2024-05-22,P004,S003,207,8581,1776267,46193
A000325,2024-05-22,P018,S001,697,1805,1258085,38759
A000326,2024-05-24,P001,S004,156,12715,1983540,66272
A000327,2024-05-24,P014,S002,129,748,96492,6943
A000328,2024-05-24,P011,S002,140,290,40600,2543
A000329,2024-05-24,P016,S003,207,858,177606,9176
A000330,2024-05-24,P004,S004,255,8065,2056575,85049
A000331,2024-05-26,P016,S002,152,888,134976,6309
A000332,2024-05-28,P007,S007,320,576,184320,6241
A000333,2024-05-28,P007,S007,100,553,55300,2714
A000334,2024-05-28,P010,S005,143,233,33319,1420
A000335,2024-05-28,P018,S003,210,1778,373380,13733
A000336,2024-05-28,P008,S001,149,448,66752,3459
A000337,2024-05-28,P001,S007,108,12806,1383048,70273
A000338,2024-05-28,P006,S004,100,4878,487800,32599
A000339,2024-05-30,P019,S005,132,2309,304788,22018
A000340,2024-06-01,P007,S007,296,549,162504,4373
A000341,2024-06-01,P005,S001,111,649,72039,4408
A000342,2024-06-03,P002,S002,300,10771,3231300,136865
A000343,2024-06-03,P013,S002,116,2235,259260,17870
A000344,2024-06-03,P012,S004,170,890,151300,4804
A000345,2024-06-03,P007,S005,314,570,178980,10763
A000346,2024-06-03,P009,S001,217,1356,294252,19769
A000347,2024-06-03,P006,S007,339,4716,1598724,72861
A000348,2024-06-03,P019,S006,240,2141,513840,22389
A000349,2024-06-03,P016,S004,168,904,151872,9676
A000350,2024-06-05,P008,S004,163,465,75795,2122
A000351,2024-06-05,P002,S005,267,10618,2835006,201753
A000352,2024-06-05,P013,S002,112,2019,226128,9269
A000353,2024-06-05,P016,S003,169,871,147199,7290
A000354,2024-06-05,P011,S002,398,293,116614,5575
A000355,2024-06-05,P009,S007,391,1287,503217,29970
A000356,2024-06-07,P009,S004,371,1425,528675,18408
A000357,2024-06-07,P008,S005,809,457,369713,11187
A000358,2024-06-07,P011,S003,100,295,29500,1984
A000359,2024-06-07,P017,S005,238,1738,413644,20219
A000360,2024-06-07,P003,S002,155,1862,288610,13166
A000361,2024-06-07,P015,S002,128,688,88064,5060
A000362,2024-06-07,P015,S003,283,662,187346,7480
A000363,2024-06-09,P016,S006,100,859,85900,6332
A000364,2024-06-09,P015,S006,349,750,261750,18942
A000365,2024-06-09,P020,S001,224,8958,2006592,77578
A000366,2024-06-09,P019,S004,212,2293,486116,21897
A000367,2024-06-09,P002,S001,313,10739,3361307,231147
A000368,2024-06-09,P016,S005,179,859,153761,8667
A000369,2024-06-09,P014,S002,205,717,146985,10273
A000370,2024-06-09,P004,S006,151,8192,1236992,90768
A000371,2024-06-11,P015,S002,110,724,79640,4721
A000372,2024-06-11,P020,S004,122,9346,1140212,79804
A000373,2024-06-11,P017,S003,222,1666,369852,21558
A000374,2024-06-11,P019,S002,313,2113,661369,29718
A000375,2024-06-11,P004,S004,201,7555,1518555,48043
A000376,2024-06-11,P013,S005,384,2262,868608,49832
A000377,2024-06-11,P014,S006,276,712,196512,8702
A000378,2024-06-11,P012,S002,174,922,160428,4159
A000379,2024-06-13,P012,S003,193,914,176402,11297
A000380,2024-06-13,P019,S001,100,2299,229900,16278
A000381,2024-06-13,P018,S006,364,1884,685776,46376
A000382,2024-06-13,P019,S006,182,2208,401856,23720
A000383,2024-06-13,P004,S005,107,8514,910998,24603
A000384,2024-06-13,P006,S005,211,4885,1030735,73335
A000385,2024-06-13,P001,S002,230,12341,2838430,169816
A000386,2024-06-13,P011,S001,156,303,47268,2509
A000387,2024-06-15,P014,S002,302,740,223480,15721
A000388,2024-06-15,P018,S007,187,1800,336600,18023
A000389,2024-06-15,P007,S006,243,525,127575,4384
A000390,2024-06-15,P013,S005,100,2103,210300,7937
A000391,2024-06-15,P018,S003,100,1778,177800,11896
A000392,2024-06-15,P019,S005,307,2291,703337,48481
A000393,2024-06-15,P001,S006,280,12346,3456880,193640
A000394,2024-06-17,P009,S007,562,1303,732286,47836
A000395,2024-06-17,P019,S004,164,2199,360636,18050
A000396,2024-06-17,P003,S006,156,1881,293436,14527
A000397,2024-06-17,P004,S006,100,7873,787300,56742
A000398,2024-06-17,P002,S001,218,10577,2305786,138380
A000399,2024-06-17,P010,S007,100,256,25600,871
A000400,2024-06-17,P001,S005,146,12847,1875662,71268
A000401,2024-06-19,P013,S002,208,2189,455312,15238
A000402,2024-06-19,P009,S007,208,1190,247520,9314
A000403,2024-06-19,P003,S002,202,1797,362994,21681
A000404,2024-06-19,P004,S004,265,8393,2224145,135276
A000405,2024-06-19,P018,S002,111,1815,201465,11075
A000406,2024-06-19,P006,S004,288,4784,1377792,101456
A000407,2024-06-21,P002,S006,219,10778,2360382,82198
A000408,2024-06-21,P001,S004,110,12257,1348270,45662
A000409,2024-06-21,P017,S003,485,1695,822075,47637
A000410,2024-06-23,P014,S005,238,758,180404,5535
A000411,2024-06-25,P008,S007,105,424,44520,1611
A000412,2024-06-25,P014,S003,100,751,75100,2080
A000413,2024-06-25,P013,S006,193,2091,403563,10607
A000414,2024-06-27,P005,S006,168,647,108696,4545
A000415,2024-06-27,P018,S006,181,1761,318741,17906
A000416,2024-06-29,P009,S002,208,1225,254800,13611
A000417,2024-06-29,P015,S006,295,704,207680,14197
A000418,2024-06-29,P009,S001,100,1362,136200,9540
A000419,2024-06-29,P014,S006,493,753,371229,14181
A000420,2024-07-01,P007,S007,147,552,81144,4854
A000421,2024-07-01,P007,S002,116,564,65424,4445
A000422,2024-07-01,P003,S001,354,1821,644634,25227
A000423,2024-07-03,P011,S007,293,298,87314,4925
A000424,2024-07-03,P004,S003,122,8068,984296,30307
A000425,2024-07-03,P019,S004,196,2359,462364,27748
A000426,2024-07-03,P004,S004,137,8130,1113810,63301
A000427,2024-07-03,P007,S006,406,544,220864,7245
A000428,2024-07-03,P007,S003,100,593,59300,4166
A000429,2024-07-03,P011,S003,124,293,36332,2468
A000430,2024-07-03,P004,S007,270,7499,2024730,56167
A000431,2024-07-05,P005,S005,182,656,119392,4325
A000432,2024-07-05,P015,S001,128,709,90752,5446
A000433,2024-07-05,P007,S006,401,563,225763,9016
A000434,2024-07-07,P014,S002,182,752,136864,5299
A000435,2024-07-09,P005,S005,157,613,96241,3108
A000436,2024-07-09,P011,S003,196,307,60172,3673
A000437,2024-07-11,P013,S007,173,2337,404301,20918
A000438,2024-07-11,P015,S007,100,692,69200,4217
A000439,2024-07-13,P005,S005,513,697,357561,22961
A000440,2024-07-13,P006,S001,207,4526,936882,27127
A000441,2024-07-15,P011,S004,315,290,91350,4310
A000442,2024-07-15,P004,S002,141,8102,1142382,82599
A000443,2024-07-17,P020,S002,268,9450,2532600,84659
A000444,2024-07-17,P007,S005,217,550,119350,4063
A000445,2024-07-17,P015,S005,133,655,87115,2366
A000446,2024-07-19,P011,S003,253,324,81972,4511
A000447,2024-07-19,P002,S004,200,10035,2007000,101860
A000448,2024-07-19,P018,S005,201,1756,352956,20127
A000449,2024-07-19,P018,S007,310,1843,571330,35878
A000450,2024-07-19,P002,S005,248,10831,2686088,73662
A000451,2024-07-19,P005,S001,467,638,297946,7462
A000452,2024-07-21,P015,S004,100,688,68800,4802
A000453,2024-07-21,P003,S003,133,1757,233681,16982
A000454,2024-07-21,P015,S004,179,691,123689,4540
A000455,2024-07-21,P010,S001,227,256,58112,3289
A000456,2024-07-21,P008,S002,100,433,43300,1385
A000457,2024-07-21,P012,S005,297,897,266409,19784
A000458,2024-07-21,P001,S003,276,13218,3648168,179895
A000459,2024-07-21,P006,S002,100,5042,504200,31836
A000460,2024-07-23,P010,S006,100,261,26100,1324
A000461,2024-07-23,P012,S001,112,888,99456,5861
A000462,2024-07-23,P003,S004,370,1815,671550,36283
A000463,2024-07-23,P016,S002,308,901,277508,9578
A000464,2024-07-23,P016,S002,101,895,90395,3808
A000465,2024-07-23,P014,S006,100,739,73900,2860
A000466,2024-07-25,P002,S001,190,10894,2069860,141966
A000467,2024-07-25,P014,S004,165,717,118305,7744
A000468,2024-07-25,P017,S007,235,1755,412425,14565
A000469,2024-07-25,P005,S001,207,676,139932,5980
A000470,2024-07-25,P003,S005,547,1848,1010856,25356
A000471,2024-07-25,P017,S004,100,1762,176200,12182
A000472,2024-07-27,P006,S004,230,4951,1138730,63851
A000473,2024-07-29,P013,S004,189,2155,407295,18086
A000474,2024-07-29,P006,S003,305,5077,1548485,78760
A000475,2024-07-29,P006,S002,114,4863,554382,29694
A000476,2024-07-29,P010,S006,299,260,77740,3851
A000477,2024-07-29,P005,S002,179,681,121899,4051
A000478,2024-07-31,P003,S002,125,1724,215500,5445
A000479,2024-07-31,P013,S001,190,2145,407550,17475
A000480,2024-07-31,P019,S007,125,2129,266125,18948
A000481,2024-08-02,P020,S003,218,10148,2212264,102813
A000482,2024-08-02,P019,S001,233,2287,532871,33357
A000483,2024-08-02,P005,S007,100,646,64600,2583
A000484,2024-08-02,P010,S001,139,261,36279,1431
A000485,2024-08-02,P014,S003,147,757,111279,5029
A000486,2024-08-02,P008,S001,100,446,44600,1992
A000487,2024-08-02,P013,S006,252,2266,571032,27999
A000488,2024-08-04,P015,S003,175,667,116725,7131
A000489,2024-08-04,P008,S004,172,454,78088,4862
A000490,2024-08-04,P009,S002,177,1257,222489,13258
A000491,2024-08-04,P006,S007,194,4433,860002,55254
A000492,2024-08-06,P017,S002,167,1780,297260,11587
A000493,2024-08-06,P019,S005,393,2092,822156,55243
A000494,2024-08-06,P017,S001,233,1728,402624,10814
A000495,2024-08-08,P006,S007,169,4824,815256,57596
A000496,2024-08-08,P018,S004,100,1806,180600,5808
A000497,2024-08-10,P017,S003,184,1732,318688,9150
A000498,2024-08-10,P013,S003,503,2143,1077929,60845
A000499,2024-08-10,P018,S006,162,1815,294030,11215
A000500,2024-08-10,P012,S007,176,897,157872,9874
A000501,2024-08-10,P015,S007,178,726,129228,4126
